dataset,fold,method,accuracy,f1,roc_auc,train_time
electricity,3,AdaPrune_gap,0.8872213639373207,0.8649220195611949,0.9565233558492491,17.470694541931152
electricity,3,AdaPrune_trend,0.8872213639373207,0.8649220195611949,0.9565233558492491,17.329777240753174
electricity,3,AdaPrune_data,0.8872213639373207,0.8649220195611949,0.9565233558492491,17.343371629714966
electricity,3,AdaPrune_hybrid,0.8872213639373207,0.8649220195611949,0.9565233558492491,17.226420164108276
electricity,4,RF_default,0.905981019642463,0.8877470355731225,0.9700737036317973,0.2759058475494385
electricity,4,XGB_default,0.9012359302582211,0.8829300196206671,0.9678414353827774,0.07739758491516113
electricity,4,XGB_tuned,0.8700066210549547,0.8446320232128726,0.9475291849982841,0.07474112510681152
electricity,4,LGBM_default,0.8807106598984772,0.8580433355219961,0.9542941780037538,0.08716058731079102
electricity,4,AdaPrune_gap,0.8894283822555727,0.8676354029062087,0.9567625381284766,17.276610851287842
electricity,4,AdaPrune_trend,0.8894283822555727,0.8676354029062087,0.9567625381284766,17.42612099647522
electricity,4,AdaPrune_data,0.8894283822555727,0.8676354029062087,0.9567625381284766,17.329718828201294
electricity,4,AdaPrune_hybrid,0.8894283822555727,0.8676354029062087,0.9567625381284766,17.409215688705444
ionosphere,0,RF_default,0.9436619718309859,0.9565217391304348,0.9914529914529914,0.09443426132202148
ionosphere,0,XGB_default,0.9436619718309859,0.9574468085106383,0.9965811965811966,0.03635144233703613
ionosphere,0,XGB_tuned,0.9577464788732394,0.967741935483871,0.9888888888888889,0.028287649154663086
ionosphere,0,LGBM_default,0.9577464788732394,0.967032967032967,0.9905982905982906,0.035239458084106445
ionosphere,0,AdaPrune_gap,0.9154929577464789,0.9347826086956522,0.9794871794871796,0.49123191833496094
ionosphere,0,AdaPrune_trend,0.9014084507042254,0.9247311827956989,0.9794871794871796,0.47327518463134766
ionosphere,0,AdaPrune_data,0.9154929577464789,0.9347826086956522,0.9794871794871796,0.4900050163269043
ionosphere,0,AdaPrune_hybrid,0.9154929577464789,0.9347826086956522,0.9794871794871796,0.4921431541442871
ionosphere,1,RF_default,0.9285714285714286,0.945054945054945,0.9675555555555556,0.10141229629516602
ionosphere,1,XGB_default,0.9285714285714286,0.945054945054945,0.9644444444444444,0.029828786849975586
ionosphere,1,XGB_tuned,0.9285714285714286,0.945054945054945,0.9573333333333334,0.03339433670043945
ionosphere,1,LGBM_default,0.9428571428571428,0.9565217391304348,0.959111111111111,0.03418278694152832
ionosphere,1,AdaPrune_gap,0.9428571428571428,0.9565217391304348,0.9626666666666667,0.47898435592651367
ionosphere,1,AdaPrune_trend,0.9428571428571428,0.9565217391304348,0.9626666666666667,0.48238039016723633
ionosphere,1,AdaPrune_data,0.9285714285714286,0.945054945054945,0.9648888888888889,0.4263317584991455
ionosphere,1,AdaPrune_hybrid,0.9285714285714286,0.945054945054945,0.9648888888888889,0.4208800792694092
ionosphere,2,RF_default,0.9285714285714286,0.946236559139785,0.987111111111111,0.09555959701538086
ionosphere,2,XGB_default,0.8857142857142857,0.9166666666666666,0.9546666666666667,0.03757333755493164
ionosphere,2,XGB_tuned,0.8857142857142857,0.9166666666666666,0.9484444444444444,0.0318446159362793
ionosphere,2,LGBM_default,0.9285714285714286,0.946236559139785,0.9608888888888889,0.032654523849487305
ionosphere,2,AdaPrune_gap,0.9,0.9263157894736842,0.9751111111111112,0.4897940158843994
ionosphere,2,AdaPrune_trend,0.9,0.9263157894736842,0.976,0.46792078018188477
ionosphere,2,AdaPrune_data,0.9142857142857143,0.9361702127659575,0.9777777777777777,0.4236311912536621
ionosphere,2,AdaPrune_hybrid,0.9142857142857143,0.9361702127659575,0.9777777777777777,0.4196040630340576
ionosphere,3,RF_default,0.9714285714285714,0.9782608695652174,0.984,0.09315228462219238
ionosphere,3,XGB_default,0.9714285714285714,0.9777777777777777,0.9777777777777777,0.035225868225097656
ionosphere,3,XGB_tuned,0.9714285714285714,0.9777777777777777,0.9795555555555555,0.03192329406738281
ionosphere,3,LGBM_default,0.9571428571428572,0.967741935483871,0.9795555555555555,0.03977465629577637
ionosphere,3,AdaPrune_gap,0.9142857142857143,0.9347826086956522,0.9164444444444445,0.47836875915527344
ionosphere,3,AdaPrune_trend,0.9142857142857143,0.9347826086956522,0.9164444444444445,0.4684886932373047
ionosphere,3,AdaPrune_data,0.9285714285714286,0.945054945054945,0.9622222222222223,0.42283010482788086
ionosphere,3,AdaPrune_hybrid,0.9285714285714286,0.945054945054945,0.9622222222222223,0.4201662540435791
ionosphere,4,RF_default,0.9,0.9213483146067416,0.9622222222222222,0.09890055656433105
ionosphere,4,XGB_default,0.8714285714285714,0.898876404494382,0.9333333333333333,0.039016008377075195
ionosphere,4,XGB_tuned,0.8857142857142857,0.9130434782608695,0.9377777777777778,0.030117511749267578
