dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
credit-g,1,AdaPrune_data,0.74,0.86125,0.12124999999999997,0.7290206648697215,0.7492857142857142,0.42154788970947266
credit-g,1,AdaPrune_hybrid,0.745,0.87125,0.12624999999999997,0.7332687651331719,0.7601190476190477,0.4087541103363037
credit-g,2,RF_default,0.745,1.0,0.255,0.7291168581741116,0.7601785714285714,0.08382987976074219
credit-g,2,XGB_default,0.775,1.0,0.22499999999999998,0.7646489104116222,0.7775000000000001,0.04214334487915039
credit-g,2,XGB_tuned,0.72,0.965,0.245,0.7081761006289308,0.7714285714285715,0.03731822967529297
credit-g,2,LGBM_default,0.75,1.0,0.25,0.741248097412481,0.7535714285714286,0.053574562072753906
credit-g,2,AdaPrune_gap,0.72,0.86,0.14,0.7081761006289308,0.7544642857142858,0.44494009017944336
credit-g,2,AdaPrune_trend,0.735,0.8675,0.13250000000000006,0.7184939898672141,0.7564285714285715,0.4225270748138428
credit-g,2,AdaPrune_data,0.74,0.83625,0.09625000000000006,0.7249111725227004,0.7510714285714285,0.4312455654144287
credit-g,2,AdaPrune_hybrid,0.725,0.84375,0.11875000000000002,0.7101761956130888,0.7523809523809523,0.4043588638305664
credit-g,3,RF_default,0.745,1.0,0.255,0.7163341512856075,0.8185119047619048,0.09524250030517578
credit-g,3,XGB_default,0.745,1.0,0.255,0.7386327503974561,0.7867857142857143,0.03946185111999512
credit-g,3,XGB_tuned,0.79,0.96875,0.17874999999999996,0.781132075471698,0.8059523809523809,0.029493093490600586
credit-g,3,LGBM_default,0.79,1.0,0.20999999999999996,0.7795218295218295,0.8124999999999999,0.050023794174194336
credit-g,3,AdaPrune_gap,0.76,0.88625,0.12624999999999997,0.7460718515594158,0.8117857142857143,0.4343299865722656
credit-g,3,AdaPrune_trend,0.765,0.8875,0.12249999999999994,0.7503625947879068,0.8163095238095238,0.4112699031829834
credit-g,3,AdaPrune_data,0.765,0.8525,0.08750000000000002,0.7503625947879068,0.8104761904761905,0.4034695625305176
credit-g,3,AdaPrune_hybrid,0.76,0.885,0.125,0.748024948024948,0.8117857142857143,0.42224788665771484
credit-g,4,RF_default,0.76,1.0,0.24,0.7316129032258064,0.7874404761904762,0.08826231956481934
credit-g,4,XGB_default,0.75,1.0,0.25,0.7375259875259874,0.7869047619047619,0.03547167778015137
credit-g,4,XGB_tuned,0.76,0.96625,0.20625000000000004,0.748024948024948,0.778452380952381,0.030382633209228516
credit-g,4,LGBM_default,0.77,1.0,0.22999999999999998,0.7602875112309075,0.7925,0.05252504348754883
credit-g,4,AdaPrune_gap,0.755,0.87875,0.12375000000000003,0.7417933379098427,0.7601190476190476,0.40482306480407715
credit-g,4,AdaPrune_trend,0.755,0.88125,0.12624999999999997,0.7417933379098427,0.7619047619047619,0.42612195014953613
credit-g,4,AdaPrune_data,0.765,0.87,0.10499999999999998,0.7482734319943622,0.7629761904761905,0.46104860305786133
credit-g,4,AdaPrune_hybrid,0.775,0.865,0.08999999999999997,0.758985200845666,0.7796428571428571,0.5010905265808105
diabetes,0,RF_default,0.7922077922077922,1.0,0.20779220779220775,0.7865535824719498,0.856111111111111,0.1090078353881836
diabetes,0,XGB_default,0.7467532467532467,1.0,0.2532467532467533,0.7450067174205105,0.8049999999999999,0.04178285598754883
diabetes,0,XGB_tuned,0.7532467532467533,0.9755700325732899,0.22232327932653662,0.7509206479794716,0.8355555555555555,0.028670549392700195
diabetes,0,LGBM_default,0.7662337662337663,1.0,0.23376623376623373,0.765185682988784,0.8181481481481482,0.036246538162231445
diabetes,0,AdaPrune_gap,0.7662337662337663,0.8794788273615635,0.1132450611277972,0.7613786213786214,0.8353703703703704,0.4384133815765381
diabetes,0,AdaPrune_trend,0.7662337662337663,0.8794788273615635,0.1132450611277972,0.7613786213786214,0.8353703703703704,0.42740654945373535
diabetes,0,AdaPrune_data,0.7727272727272727,0.8615635179153095,0.08883624518803679,0.7686942607304208,0.8494444444444444,0.3533484935760498
diabetes,0,AdaPrune_hybrid,0.7532467532467533,0.8680781758957655,0.11483142264901225,0.7495827986975903,0.8350000000000001,0.3484957218170166
diabetes,1,RF_default,0.7792207792207793,1.0,0.22077922077922074,0.7746353646353646,0.8404629629629631,0.13771605491638184
diabetes,1,XGB_default,0.7727272727272727,1.0,0.2272727272727273,0.7699825630206876,0.8287037037037037,0.03586149215698242
