dataset,fold,method,accuracy,f1,auc,train_time
synthetic_easy,0,XGB_tuned,0.985,0.9849996249906248,,0.03451967239379883
synthetic_easy,0,LGBM_default,0.985,0.985,,0.06803369522094727
synthetic_easy,0,RF_default,0.98,0.98,,0.3259546756744385
synthetic_easy,0,RF_tuned,0.98,0.9799994999874997,,0.28028273582458496
synthetic_easy,1,AdaPrune_hybrid,0.99,0.99,,1.6112525463104248
synthetic_easy,1,AdaPrune_gap,0.99,0.9899997499937498,,1.6388773918151855
synthetic_easy,1,AdaPrune_trend,0.9825,0.9824998906243164,,1.5792100429534912
synthetic_easy,1,AdaPrune_dataaware,0.98,0.98,,1.5037429332733154
synthetic_easy,1,XGB_default,0.9925,0.9924995781012683,,0.05132937431335449
synthetic_easy,1,XGB_tuned,0.985,0.9849996249906248,,0.03452467918395996
synthetic_easy,1,LGBM_default,0.9925,0.9924995781012683,,0.06906747817993164
synthetic_easy,1,RF_default,0.9875,0.9874999218745117,,0.3326270580291748
synthetic_easy,1,RF_tuned,0.99,0.99,,0.2777113914489746
synthetic_easy,2,AdaPrune_hybrid,0.9975,0.9974999843749024,,1.6440937519073486
synthetic_easy,2,AdaPrune_gap,0.9975,0.9974999843749024,,1.6449635028839111
synthetic_easy,2,AdaPrune_trend,0.99,0.9899997499937498,,1.624553918838501
synthetic_easy,2,AdaPrune_dataaware,0.9975,0.9974999843749024,,1.5392251014709473
synthetic_easy,2,XGB_default,0.995,0.9949998749968749,,0.04805755615234375
synthetic_easy,2,XGB_tuned,0.9925,0.9924999531247071,,0.031191110610961914
synthetic_easy,2,LGBM_default,0.995,0.9949998749968749,,0.06813311576843262
synthetic_easy,2,RF_default,0.9875,0.9874999218745117,,0.31693577766418457
synthetic_easy,2,RF_tuned,0.99,0.99,,0.26494431495666504
synthetic_easy,3,AdaPrune_hybrid,1.0,1.0,,1.6232080459594727
synthetic_easy,3,AdaPrune_gap,0.9975,0.9974999843749024,,1.6291000843048096
synthetic_easy,3,AdaPrune_trend,0.9975,0.9974999843749024,,1.4691722393035889
synthetic_easy,3,AdaPrune_dataaware,0.9975,0.9974999843749024,,1.6370623111724854
synthetic_easy,3,XGB_default,0.995,0.9949998749968749,,0.046477317810058594
synthetic_easy,3,XGB_tuned,0.9925,0.9924999531247071,,0.03356647491455078
synthetic_easy,3,LGBM_default,0.995,0.9949998749968749,,0.06435918807983398
synthetic_easy,3,RF_default,0.9975,0.9974999843749024,,0.3471565246582031
synthetic_easy,3,RF_tuned,0.995,0.9949998749968749,,0.27799129486083984
synthetic_easy,4,AdaPrune_hybrid,1.0,1.0,,1.6362841129302979
synthetic_easy,4,AdaPrune_gap,1.0,1.0,,1.6407091617584229
synthetic_easy,4,AdaPrune_trend,1.0,1.0,,1.6317331790924072
synthetic_easy,4,AdaPrune_dataaware,0.9975,0.9974999843749024,,1.6820898056030273
synthetic_easy,4,XGB_default,0.985,0.985,,0.044538021087646484
synthetic_easy,4,XGB_tuned,0.99,0.99,,0.033525943756103516
synthetic_easy,4,LGBM_default,0.9925,0.9924999531247071,,0.06505918502807617
synthetic_easy,4,RF_default,0.9825,0.9824990155696258,,0.3144826889038086
synthetic_easy,4,RF_tuned,0.985,0.9849984998499849,,0.2780451774597168
synthetic_noisy_small,0,AdaPrune_hybrid,0.70625,0.7059628543499512,,0.8797886371612549
synthetic_noisy_small,0,AdaPrune_gap,0.75,0.7496479424190268,,0.3638651371002197
synthetic_noisy_small,0,AdaPrune_trend,0.73125,0.7309872922776148,,0.8779716491699219
synthetic_noisy_small,0,AdaPrune_dataaware,0.7125,0.7124550711048602,,0.8811423778533936
synthetic_noisy_small,0,XGB_default,0.80625,0.8061818608104412,,0.06707525253295898
synthetic_noisy_small,0,XGB_tuned,0.7875,0.7874667916862009,,0.05061960220336914
synthetic_noisy_small,0,LGBM_default,0.79375,0.7937419430446502,,0.05417442321777344
synthetic_noisy_small,0,RF_default,0.7625,0.7625,,0.21235275268554688
synthetic_noisy_small,0,RF_tuned,0.7875,0.7872007510561728,,0.17978334426879883
synthetic_noisy_small,1,AdaPrune_hybrid,0.975,0.975,,0.50095534324646
